Title,Rating,Voting,Duration,genre
345. Midas,4.7, (340),1h 25m,action
346. Mobile Suit Gundam SEED Freedom,6.6, (953),2h 4m,action
347. Paradise,6.9, (78),1h 23m,action
348. Rendel: Cycle of Revenge,3.6, (245),1h 39m,action
349. (Pri)sons,5.0, (275),1h 40m,action
350. Breaking and Re-entering,5.8, (445),1h 49m,action
351. The Plot,4.8, (383),1h 40m,action
352. Baki Hanma VS Kengan Ashura,5.7, (1.9K),1h 2m,action
353. UmroAyyar - A New Beginning,6.9, (675),2h 15m,action
354. Purushothamudu,5.1, (2.3K),2h,action
355. Bidurbhai,9.2, (380),2h 28m,action
356. Aserb: The Squadron,5.2, (307),2h,action
357. Sikaar,8.3, (677),2h 30m,action
358. 6 Hours Away,3.9, (247),1h 33m,action
359. Kizumonogatari: Koyomi Vamp,7.0, (91),2h 24m,action
360. Harom Hara,6.6, (3K),2h 34m,action
361. Gandhi 3,5.5, (239),2h 23m,action
363. Yuva,5.8, (839),2h 33m,action
364. Appudo Ippudo Eppudo,4.7, (231),2h,action
365. Hit List,5.5, (313),2h 5m,action
366. Road Wars: Max Fury,2.0, (350),1h 23m,action
367. Ruslaan,3.3, (1.2K),2h,action
368. Malayalee from India,5.6, (5K),2h 40m,action
369. Fighting the Fire,8.5, (1.7K),1h 55m,action
370. Bangkok Breaking: Heaven and Hell,5.8, (669),2h 26m,action
371. Star Abyss,3.8, (251),1h 26m,action
372. Siren,6.4, (2.9K),2h 34m,action
373. Sabari,6.5, (5.4K),2h 9m,action
374. They Call Her Death,6.8, (28),1h 32m,action
375. Bachhala Malli,8.3, (3.9K),2h 20m,action
376. Correr para Vivir,7.0, (197),1h 37m,action
377. The Heist,6.9, (2K),2h,action
378. Anunnakiler,2.5, (453),1h 16m,action
379. First Nights at Freddy's,9.3, (16),1h 38m,action
381. Hunt the Wicked,5.3, (114),1h 42m,action
382. Malaikottai Vaaliban,6.0, (4.1K),2h 36m,action
383. Bureau 749,4.0, (533),2h 3m,action
384. Double Ismart,2.9, (2.1K),2h 36m,action
385. Samandar,7.7, (140),2h 52m,action
386. Operation Valentine,5.3, (1.4K),2h 13m,action
387. The Traveller,5.2, (208),2h 14m,action
388. Alangu,8.1, (1.2K),2h 11m,action
389. The Actor,3.4, (733),2h 8m,action
390. Drive,5.6, (334),1h 30m,action
391. Kondal,5.4, (775),2h 27m,action
392. Clownface 3,9.0, (36),1h 44m,action
393. My Fathers' Daughter,6.7, (74),1h 18m,action
394. The Lost Tiger,7.9, (45),1h 30m,action
395. Bohurupi,8.3, (1.4K),2h 35m,action
396. The Epidemic,5.7, (72),1h 35m,action
397. The Unbreakable Bunch,7.3, (27),R,action
398. 12 Gaun,6.3, (884),2h 27m,action
399. Fyre Rises,6.5, (322),1h 50m,action
400. Bhaje Vaayu Vegam,6.1, (555),2h 16m,action
401. Shark Island,3.2, (115),1h 21m,action
402. Buddy,3.8, (346),2h 17m,action
403. Die Chaosschwestern und Pinguin Paul,5.7, (68),1h 40m,action
404. Memes & Nightmares,5.7, (86),1h 21m,action
406. Zebra,7.2, (3.2K),2h 44m,action
407. Camp Blood: Clown Shark,3.3, (87),1h 10m,action
408. Jorge da Capadócia,6.4, (133),1h 59m,action
409. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.9, (21),1h 30m,action
410. Turbo,5.9, (3.6K),2h 35m,action
411. Captain Miller,6.5, (8.6K),2h 37m,action
413. Where Is Gilgamesh?,9.0, (607),1h 30m,action
414. Mazhai Pidikatha Manithan,4.5, (424),2h 13m,action
415. Game On,5.3, (2.3K),2h 20m,action
416. Hitler,5.2, (305),2h 8m,action
417. Por,5.1, (616),2h 34m,action
418. Prepare to Die,4.6, (236),1h 33m,action
419. Red vs. Blue: Restoration,5.6, (137),1h 25m,action
420. Tòkunbò,3.9, (296),1h 53m,action
421. Sucha Soorma,6.4, (918),2h 16m,action
422. Mummy Shark,2.0, (178),1h 6m,action
423. Buying Time,6.2, (438),1h 24m,action
424. Ship of the Damned,2.8, (298),1h 28m,action
425. Bull Shark 2,2.9, (165),1h 15m,action
427. Ghosts of Red Ridge,3.3, (158),1h 21m,action
428. Taklee Genesis x Worlds Collide,5.4, (411),2h 26m,action
429. Bastar: The Naxal Story,6.4, (3.3K),2h 4m,action
430. The Mick and the Trick,4.9, (76),1h 36m,action
431. Mission: Chapter 1,5.9, (1.7K),2h 24m,action
432. Ameena,6.4, (19),1h 47m,action
433. Spirit Riser,6.7, (33),1h 38m,action
434. Touchdown,6.8, (14),1h 18m,action
435. Speed 220,6.8, (1K),1h 54m,action
436. Echo 8,3.9, (201),1h 36m,action
438. The Desperate Chase,5.5, (60),1h 50m,action
439. The Omicron Killer,2.9, (596),1h 38m,action
440. Sayen: The Huntress,4.4, (255),1h 28m,action
441. Agastya - Chapter 1,6.9, (597),2h 48m,action
442. Matka,4.7, (586),2h 36m,action
443. Gangs of Godavari,5.0, (909),2h 45m,action
444. Ame no naka no yokujô,5.9, (77),2h 12m,action
445. Losing Lerato 2,9.1, (34),1h 36m,action
446. Kung Fu Games,3.3, (381),1h 38m,action
447. Diabel,5.1, (254),1h 48m,action
448. Shu Si Yi Bo,6.7, (33),1h 31m,action
449. Guy Manley: Super Spy,4.4, (117),1h 32m,action
450. Ballistic,2.2, (161),1h 35m,action
451. The Circuit 4: Faith Fighter,4.3, (89),1h 30m,action
452. I Am What I Am 2,7.5, (206),2h 14m,action
453. DNA,5.1, (210),2h 36m,action
454. The Last Chainsaw Massacre,3.7, (42),1h 15m,action
455. Vixen,5.3, (200),1h 28m,action
456. Young Lion of the West,5.2, (108),1h 33m,action
457. Sunfall,2.3, (37),1h 14m,action
458. Onsen shâku,5.9, (32),1h 10m,action
459. Panjab Files,8.2, (20),1h 57m,action
460. Mathu Vadalara 2,7.0, (1.7K),2h 19m,action
461. Clone Cops,6.2, (209),1h 36m,action
462. Saindhav,5.1, (1.6K),2h 18m,action
463. Blade of Fury,6.1, (125),1h 30m,action
464. Jathara,7.8, (1.1K),2h 9m,action
465. How to Make a Werewolf,5.9, (139),16+,action
466. Mutant,4.5, (59),1h 30m,action
468. High Forces,5.7, (530),1h 59m,action
469. Bonus Trip,4.6, (227),1h 53m,action
470. Formed Police Unit,4.6, (479),2h,action
472. Sous écrous,5.3, (51),1h 51m,action
473. Tokusou Sentai Dekaranger 20th: Fireball Booster,7.0, (33),50m,action
474. The Infallibles,4.8, (755),1h 39m,action
475. Dange,5.3, (794),2h 34m,action
476. Transformers Prime: Galavatron's Revenge,3.4, (10),1h 44m,action
477. Raju Gari Ammayi Naidu Gari Abbayi,8.2, (3.1K),2h 38m,action
478. Kill Craft,2.4, (365),1h 39m,action
479. 24 Hours to D-Day,4.8, (37),1h 23m,action
480. Rebel,3.1, (65),1h 40m,action
481. Thundu,5.0, (906),2h 5m,action
482. The Grey Men,6.4, (71),1h 37m,action
483. Marni: The Story of Wewe Gombel,5.8, (215),1h 59m,action
485. The Wild Blade of Strangers,6.2, (113),1h 42m,action
486. Oru Anveshanathinte Thudakkam,7.1, (830),3h 1m,action
487. Black Storm,6.7, (65),1h 37m,action
488. Dragon Ball Z Kai,8.5, (71),1h 22m,action
490. Bhairadevi,8.7, (50),2h 14m,action
491. The Miranda Brothers,4.4, (190),1h 39m,action
492. Ape X Mecha Ape: New World Order,2.8, (135),1h 27m,action
494. Jithender Reddy,7.9, (2.4K),2h 16m,action
495. Kali,5.1, (418),1h 36m,action
496. Shekko,6.0, (565),2h,action
497. In Tenebras: Into the Darkness,3.3, (174),1h 30m,action
498. Indrani: Epic-1 Dharam vs Karam,7.6, (1.1K),2h 37m,action
499. Dreams,7.6, (8),1h 46m,action
501. Karma,4.1, (19),1h 51m,action
502. Sector 17,5.5, (1.3K),2h 26m,action
503. Gam Gam Ganesha,5.3, (310),2h 20m,action
505. Serra das Almas,5.4, (14),2h,action
506. Devaki Nandana Vasudeva,6.6, (2.7K),2h 8m,action
507. Desperado,5.9, (144),1h 40m,action
508. Athhoi,8.0, (134),2h 38m,action
509. Kadakan,4.0, (113),2h 8m,action
511. Gold Raiders,2.0, (183),1h 28m,action
512. Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7, (202),2h 9m,action
513. Bandaa Singh Chaudhary,6.2, (5.2K),1h 53m,action
514. Texas Twister,2.5, (158),1h 28m,action
515. Captain Avispa,5.8, (177),1h 36m,action
516. Kamen Rider 555 20th: Paradise Regained,5.9, (142),1h 5m,action
518. Death Game,6.3, (24),1h 28m,action
519. Honeko Akabane's Bodyguards,5.9, (41),1h 57m,action
520. Saint Young Men: Holy Men vs Demon Army,3.0, (14),1h 33m,action
521. Bond of Justice: Kizuna Part I - Encounter,6.2, (18),1h 32m,action
523. Hell City,9.1, (27),1h 30m,action
524. Next to Us,4.8, (225),2h 5m,action
525. The Vampire and the Vigilante,3.6, (51),1h 15m,action
526. Rang De Basanti,8.8, (145),2h 54m,action
528. Polar,4.4, (29),1h 16m,action
529. Love You as the World Ends Final,6.3, (38),1h 55m,action
531. The Alexandrian,3.8, (254),1h 44m,action
533. Shadows of Betrayal: Chronicles of Ian Blair,7.3, (12),1h 5m,action
537. Hiranya,5.6, (20),2h 18m,action
538. London Gangsters,4.3, (11),1h 44m,action
539. SCP: The Infinite Mission,6.0, (32),16+,action
540. Too Little Too Late,5.5, (8),1h 6m,action
541. Lisabi: The Uprising,6.1, (125),1h 47m,action
